Gender,Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,80 years,28774,29498,28772,27183,26007,25324,26440,32583,31766,32535,33364,34526,37734
Total,81 years,29170,30123,30740,29562,29486,27737,25872,29485,33630,34228,34881,34841,38368
Total,82 years,30522,30772,30979,31629,31748,31495,28132,28797,30275,35967,36635,35893,38219
Total,83 years,30889,31651,31505,31475,33342,33886,31042,30971,29105,31953,37742,37411,39705
Total,84 years,30279,32489,32623,31620,33407,35044,33199,34167,31096,30659,34066,38768,40769
Total,85 years,32485,31851,32451,32670,32983,34748,34033,36263,33903,33270,31956,33963,42311
Total,86 years,34554,32534,31742,32419,33856,34261,33738,36867,35503,35051,33822,32294,36837
Total,87 years,34450,35164,32388,30792,32823,34502,32688,35515,35610,36041,35940,32991,34241
Total,88 years,32173,33773,33583,30953,31070,33085,32189,34162,34024,35948,36728,34974,34648
Total,89 years,17888,30664,32211,31792,30664,30732,30258,33199,32069,33634,35622,34704,35574
Total,90 years,14119,16577,28793,29732,30561,29522,27273,31227,30198,31748,32892,32929,35039
Total,91 years,14086,13080,15333,26287,28190,28907,26171,27620,27751,29402,29674,29527,32371
Total,92 years,14265,12660,11667,13545,24314,25795,24857,25275,23901,26225,27213,26617,28604
Total,93 years,17746,12513,11045,9821,11931,21431,21769,23286,21027,21733,23447,23178,24291
Total,94 years,16108,14975,10611,8949,8663,10156,17304,19685,18949,18747,18745,19006,20909
Total,95 years,13193,13147,12150,8419,7614,7219,8152,15226,15223,16086,15811,15012,16687
Total,96 years,9648,10431,10365,9725,6934,6136,5522,6779,11918,12821,13178,12086,12710
Total,97 years,7161,7590,7828,7892,7575,5397,4388,4554,5105,9427,10006,9765,9667
Total,98 years,5261,5204,5608,5750,5921,5781,3814,3522,3106,3943,6936,7133,7534
Total,99 years,3573,3718,3722,4006,4207,4275,3783,2853,2396,2393,2784,4876,5319
Total,100 years and over,5766,6109,6468,6592,7032,7422,7482,7875,6605,5997,5453,5000,6962
Total,Total,844438,854544,858768,852328,869582,893825,868356,925200,910902,932272,954874,939520,985572
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
